DecYear Q Conc Flux FNConc FNFlux PeriodLong PeriodStart
1975.24703196347 777.215973399133 74.3364890126684 6576915.70276303 60.4038772489371 6173231.51289547 12 10
1976.24763595107 429.903112095086 35.4533032014151 1506950.63333316 59.5607541814763 6089266.26193552 12 10
1977.24711938423 215.443101017008 15.1966977208593 284612.688802994 58.5183204112151 5963514.70368043 12 10
1978.24703196347 689.864320881839 66.7131934609374 7179224.7797192 57.5865035862813 5851737.68528202 12 10
1979.24703196347 508.384367819021 43.176940675484 2783928.20039578 56.6252017166492 5732585.57245266 12 10
1980.24763595107 752.555008042316 69.992175429477 7961923.76256094 55.3889483881982 5587217.33344052 12 10
1981.24711938423 449.352664886445 35.2038934993493 1799359.81139213 53.1019859688082 5278318.30725608 12 10
1982.24703196347 1175.26006427355 99.6351340328252 14151889.6762107 51.7619483115991 5012761.75562574 12 10
1983.24703196347 1327.93596604935 102.812382981328 14410480.0805362 51.5916565682836 4868371.87918928 12 10
1984.24763595107 878.363816457907 80.4694409800387 9205192.74785462 51.0631720032879 4733173.28427188 12 10
1985.24711938423 477.431339424021 41.039581482765 2113736.46502729 49.9296980672415 4547637.34836495 12 10
1986.24703196347 701.812478441401 53.1547844979761 5760021.60594188 50.2478557152979 4571426.1990423 12 10
1987.24703196347 392.753883329545 31.5675178759949 1210428.90868628 54.3154714528997 5206629.23300538 12 10
1988.24763595107 378.750199130292 31.1638418710234 1232189.7453022 59.8755659494832 6035721.77338333 12 10
1989.24711938423 481.106323019869 43.1044041119409 2747643.75812182 60.5740497139867 5975284.16101181 12 10
1990.24703196347 386.431856451234 32.243709820258 1187367.17464939 59.9696835481508 5885958.73744327 12 10
1991.24703196347 296.186454976264 23.3151493162707 882881.318478854 59.1854806022079 5881763.21183265 12 10
1992.24763595107 313.870578835632 25.2009066649645 1143448.00482944 59.4333392241168 6162994.34304581 12 10
1993.24711938423 767.855898017267 67.4607300202425 7445660.10166518 55.304680527409 5716057.49145939 12 10
1994.24703196347 371.704768927491 26.5718024829707 990359.680075169 48.6650300716925 4758186.07302651 12 10
1995.24703196347 1085.36455040714 69.5873750240456 9467750.72355287 43.717795889797 4083954.85619735 12 10
1996.24763595107 880.622974692785 54.882804666784 5846498.56634297 40.2498668152078 3640446.37053801 12 10
1997.24711938423 821.954263249613 49.44799438973 6044084.11222691 37.7459947666934 3354124.738743 12 10
1998.24703196347 1134.87558652776 61.1201186589107 7734514.13479016 36.6690433068011 3280320.04746962 12 10
1999.24703196347 851.514723446482 50.6361373819663 5173557.64801326 36.6640592667975 3339960.66553888 12 10
2000.24763595107 716.145423613082 41.3123911908155 3840643.38328006 37.1456957870872 3446200.89633333 12 10
2001.24711938423 411.365421531862 23.3291453083141 1000466.30626476 37.4146073727375 3508201.95325238 12 10
2002.24703196347 512.574485277575 31.2248359690733 1895898.46984316 37.8912871959921 3597063.03137256 12 10
2003.24703196347 715.946851701426 45.7895044425098 3947543.39330101 38.9191816380989 3754226.22068762 12 10
2004.24763595107 668.118969013748 43.6179787566159 3852394.07833137 40.3900838608088 3984027.92067156 12 10
2005.24711938423 655.019083768164 40.6963542048354 2958734.11778742 41.1071459607956 4110158.69623784 12 10
2006.24703196347 1079.21320041105 72.0355513688391 10073242.249383 40.7461972733929 4101449.81838846 12 10
2007.24703196347 429.093318966674 23.8387755211937 1025160.25006263 40.4728232526926 4115063.37828474 12 10
2008.24763595107 374.324724779777 21.2887858930948 956410.554077911 41.0649610378063 4234250.64402654 12 10
2009.24711938423 390.137096403475 21.6519576328275 1039456.06357453 42.1751892561127 4381598.89710736 12 10
2010.24703196347 499.740359538479 31.4029906286435 1941653.19943327 43.9944230238495 4622890.94701041 12 10
2011.24703196347 893.319698334771 61.125395054902 6707902.7126685 43.3503280737337 4422009.1367717 12 10
2012.24763595107 471.023660391502 27.3081961299514 1301281.03831772 41.6160078364757 4143771.38314436 12 10
2013.24711938423 492.453232471602 31.6062094871522 2154150.64171273 39.5273128849131 3900089.88848621 12 10
2014.24703196347 252.152595166956 11.4146519713879 314839.317602587 37.8299756288523 3716137.12467529 12 10
2015.24703196347 300.686118234848 15.7136277625791 866885.590865336 36.383705536444 3561016.73805209 12 10
2016.24763595107 535.772528034897 28.5450264343454 2250142.22757626 35.0618171191175 3424713.9792689 12 10
2017.24711938423 1127.83671674412 61.0027433619821 8803910.51289573 33.6263167317083 3268289.88354829 12 10
2018.24703196347 492.928800329794 23.617737613866 1375739.10986623 32.2042129340086 3119247.70597108 12 10
