chng_est low_conf up_conf
-45476435.0594307 -232101668.460648 -5751847.00160346
-111831270.152804 -806226453.610145 -23475734.02422
-139469006.86221 -671819030.528947 -13424970.3390197
-391700533.694404 -606871713.641318 -17373826.3499364
-605553217.257135 -714683911.511284 -47043494.6852498
-28665366.0863566 -269133576.838547 50407643.0535809
-8774532.8175206 -112450781.326314 53635387.9975509
-7154522.56225068 -56319660.3124031 16830987.5229784
-15717297.7152727 -29146959.1414778 9348043.36647515
-12432932.7025306 -37033218.4714736 4725982.3130301
-17448014.8889228 -71274087.7743567 2400244.1345938
-7352570.15217534 -45517396.6743558 8561109.95496948
