chng_est low_conf up_conf
-0.0205263757428763 -0.0445395293921866 -0.00799639375460051
-0.0270351049218814 -0.0446130934366809 -0.0159472437071476
-0.0283854125210242 -0.0462858679840989 -0.0182732406884031
-0.0264310816096619 -0.0472892517992317 -0.0187067957265781
-0.025253790879826 -0.0387894759559818 -0.0164251696088758
-0.0164400445289987 -0.0294794746541954 -0.00619802658465337
-0.00557176052592173 -0.0272111107897492 0.00281512813129691
-0.0106190315508681 -0.0333549853755414 -0.00221166626701615
-0.011090595548929 -0.0321900764088712 -0.00201903630962885
-0.00946164319072003 -0.025934136578786 -0.00041454534525151
-0.0122007532625266 -0.0288260817416079 -0.00310136439977853
-0.0135239855449843 -0.0292924764481848 -0.00804784347722313
