chng_est low_conf up_conf
-0.0328165340520951 -0.0517975629090857 -0.0155559785521336
-0.0380169530143548 -0.060127776199653 -0.0225284604571716
-0.0316881326622239 -0.0543461024404402 -0.0174247409415899
-0.0222732720515584 -0.035227510620064 -0.0109992604331721
-0.00794790489864263 -0.0176813838603999 -0.00387438258686851
0.0074641997360303 0.00104919188183164 0.0139074275646383
0.0205284030231984 0.00291969637308689 0.0311863746729878
0.0270366632700316 0.00745531985826103 0.0449662090003018
0.0211743800530892 -0.00846382245028202 0.0392525466492982
-0.0165645299737252 -0.0385228125176685 0.0038900452431289
-0.0481048725533636 -0.0617362402500542 -0.0284175300708983
-0.039296771630754 -0.0586397523179131 -0.023129815444329
