chng_est low_conf up_conf
-0.500455849697353 -0.626236853076334 -0.328411157087482
-0.48955388433895 -0.605997688696528 -0.37935109304545
-0.610279502967077 -0.663511076721847 -0.506041486960676
-0.67476256714082 -0.737517888608101 -0.623754051030542
-0.703961886705115 -0.837673333025267 -0.616931355763243
-0.642156288102011 -0.808962872288743 -0.499075750544635
-0.559155674202218 -0.689529263839469 -0.394541628953724
-0.583713216370607 -0.67544325028277 -0.291178155433275
-0.492134619721687 -0.696108522799161 -0.384015097338657
-0.768497277281976 -0.910879746248433 -0.605951684513564
-0.800787421559126 -0.944088869187328 -0.719682192170588
-0.644499805808561 -0.799426608475984 -0.516436671721664
