chng_est low_conf up_conf
-11.7997519295459 -28.3219031299095 0.00179047020653655
-4.57187455232945 -16.4415767479258 4.10300972233642
-4.85276045463512 -20.1981166000656 5.40533263829172
-14.8929039187032 -31.3429055324019 0.048398639455506
-33.6070574743204 -48.6885649780265 -20.3662423521478
-43.8320358088683 -53.9075063216175 -30.5757125183829
-30.8737322125008 -47.8381056825428 -14.6088740378423
-33.2656503071592 -49.5109327247261 -17.0273380267074
-38.1520170928005 -53.5673109874673 -22.8997499948043
-38.9720879910849 -45.4722676964968 -25.5413612468538
-28.723262154114 -40.7735669377588 -15.4122578304045
-24.9065770927873 -40.6344420346842 -11.4585233206539
