DecYear Q Conc Flux FNConc FNFlux PeriodLong PeriodStart
1986.24703196347 204.456940429972 75.2428221354443 1255194.2341582 73.01584604619 737308.38804327 12 10
1987.24703196347 70.9379670755923 86.8757264347069 528441.023652225 73.3969978491734 732896.53837088 12 10
1988.24763595107 45.5731015983763 74.3866037265178 302361.142327451 73.803335517598 731455.312543475 12 10
1989.24711938423 41.4180814284517 71.9708932231362 267354.6098781 74.2312449991387 729520.165203025 12 10
1990.24703196347 35.8177850207375 68.6353957593847 209135.752260349 74.7564334157321 732092.365820245 12 10
1991.24703196347 25.7018437918308 58.5019017207986 134857.458255777 75.5512304921495 742665.80961397 12 10
1992.24763595107 27.3180199025035 59.4912432831839 150510.126944696 77.3431148172096 777722.438908079 12 10
1993.24711938423 66.6047913575756 85.1526552598724 583328.708481502 80.5784676588658 860303.146107158 12 10
1994.24703196347 47.7055850283133 71.8679987563197 302020.264553043 77.2665738884987 858691.651522091 12 10
1995.24703196347 246.441591527 81.6914765472326 1846327.77340809 71.2225136133793 812293.708816523 12 10
1996.24763595107 153.886586327221 83.2780206117269 1228718.4377852 66.7831706468097 768728.269431707 12 10
1997.24711938423 264.88896960078 83.9273300912996 2195635.09132953 63.9677204804019 733026.721191148 12 10
1998.24703196347 332.099974211848 74.6857751458525 2273039.20144769 62.1363689004307 702664.710226973 12 10
1999.24703196347 139.556280160983 76.17173056448 1014021.889974 60.5917845863833 679631.903437886 12 10
2000.24763595107 111.010548292812 62.5707036133978 716219.61653856 57.4487058253835 666966.9450845 12 10
2001.24711938423 67.7532916141288 55.837147602581 339376.831925572 54.6382376602744 650807.292908975 12 10
2002.24703196347 54.5918541631705 51.8015408766398 251535.539033551 54.4204886818181 642155.263608723 12 10
2003.24703196347 53.386177151073 50.900500319934 238715.612743624 54.1431294145159 632952.273000865 12 10
2004.24763595107 53.5589938533722 51.024062432148 248299.766890928 53.7100971460537 623505.542447306 12 10
2005.24711938423 148.129690276607 63.6824883730959 903521.44545552 53.2845885276166 619231.687029178 12 10
2006.24703196347 287.512966143338 69.1619789518687 1787943.49393528 53.0165781987507 627332.904015829 12 10
2007.24703196347 62.4294917556144 53.4325535952874 302718.270911236 52.2972391242651 638464.702027329 12 10
2008.24763595107 48.1363951422032 46.3059659002592 208106.730624418 51.5595442105642 652869.088239047 12 10
2009.24711938423 33.8487944431018 38.5058665838388 119201.874051563 50.4741869383698 655244.076097789 12 10
2010.24703196347 71.3600044570871 49.6274997274978 352020.797694725 49.9860481861179 670883.786308809 12 10
2011.24703196347 267.113975501749 68.5043003384667 1693649.93797513 48.3684553495289 615334.677899335 12 10
2012.24763595107 57.6472965741745 48.1929821674933 263466.181094496 48.2658493630949 579191.503154929 12 10
2013.24711938423 41.8782883672435 44.3699915312326 181565.387303695 48.6963853290296 534400.448240097 12 10
2014.24703196347 24.6547411193978 29.6044018935736 83436.2905454259 49.6596189127266 525423.603334057 12 10
2015.24703196347 16.5238961593765 21.4022907027777 40604.6729493978 51.7507967036207 533174.48241316 12 10
2016.24763595107 28.4848906045046 38.0607434116276 132686.000008531 54.6419379131197 548791.284745678 12 10
2017.24711938423 346.149784834773 46.9041430027444 1431544.99624161 58.2110285423578 567681.438021566 12 10
2018.24703196347 72.9442738261139 68.3040708148477 490065.426321852 62.4702447429036 591934.31039448 12 10
