DecYear Q Conc Flux FNConc FNFlux PeriodLong PeriodStart
1986.24703196347 204.456940429972 74.4160581182223 1279484.74948465 73.6520869513693 734391.17705774 12 10
1987.24703196347 70.9379670755923 86.1884377764894 525089.601425457 74.4129647122642 741237.618807704 12 10
1988.24763595107 45.5731015983763 74.3951187210964 303187.307939267 75.251105509137 750936.155482144 12 10
1989.24711938423 41.4180814284517 72.4455926881846 270266.47853409 76.1699058085237 760116.88084906 12 10
1990.24703196347 35.8177850207375 69.8221423556639 213541.785775164 77.2603966489346 773939.945592929 12 10
1991.24703196347 25.7018437918308 61.0167669377619 141063.324498129 78.8936392944174 801251.935550555 12 10
1992.24763595107 27.3180199025035 62.6331070185329 159491.948361597 81.517640780892 853642.497184633 12 10
1993.24711938423 66.6047913575756 86.258205674616 596140.180777963 86.3432849390416 1037637.03728448 12 10
1994.24703196347 47.7055850283133 74.9500557090241 314682.435388345 83.3134126522864 1011760.46702558 12 10
1995.24703196347 246.441591527 92.8117433945559 2310518.11161824 76.3365853386838 934273.769757651 12 10
1996.24763595107 153.886586327221 89.4513371881319 1408101.48565653 70.4921856327531 853106.712033593 12 10
1997.24711938423 264.88896960078 87.2421017605585 2354231.02011591 66.6876392296436 782704.062150688 12 10
1998.24703196347 332.099974211848 78.4061621357933 2402071.65874578 64.2369305868247 722386.988542803 12 10
1999.24703196347 139.556280160983 80.2743009569104 1076202.93769814 62.3957894590604 665789.182920713 12 10
2000.24763595107 111.010548292812 64.9944736562154 744480.574061016 58.3812731454619 651586.336504982 12 10
2001.24711938423 67.7532916141288 56.9457996034354 347602.511808799 54.721610900494 633767.348994665 12 10
2002.24703196347 54.5918541631705 52.5051255260525 256389.427010951 54.275814385797 624987.880084303 12 10
2003.24703196347 53.386177151073 51.5780393350518 242211.779838187 54.2566912614829 619447.65797151 12 10
2004.24763595107 53.5589938533722 51.6125855331024 251369.401717052 53.8669371370717 598723.342876101 12 10
2005.24711938423 148.129690276607 64.3470644190023 906339.529635155 53.4233244622804 583877.787229736 12 10
2006.24703196347 287.512966143338 68.1602124734143 1720748.13431859 52.6453187626277 593474.159228159 12 10
2007.24703196347 62.4294917556144 52.9779762208516 300863.465386495 51.5381817419334 599496.882059783 12 10
2008.24763595107 48.1363951422032 45.3330311672857 202251.449655988 88.8860057403103 609899.965740605 12 10
2009.24711938423 33.8487944431018 37.4098159036391 116240.417363777 49.7619345109015 596100.335702612 12 10
2010.24703196347 71.3600044570871 46.7926265418224 325401.03116523 46.7891162401219 601034.799457651 12 10
2011.24703196347 267.113975501749 62.8904052766281 1556344.01234834 45.1363811859176 557938.398939145 12 10
2012.24763595107 57.6472965741745 43.4194570385631 239874.910600596 43.8586092495871 514352.347978728 12 10
2013.24711938423 41.8782883672435 38.245300244764 156230.990193771 44.0911954191864 483358.582939532 12 10
2014.24703196347 24.6547411193978 25.7220260927585 73014.0074291939 45.5949527719694 483668.074017978 12 10
2015.24703196347 16.5238961593765 18.5890134044594 35508.1867747057 47.8041372487597 495977.767125778 12 10
2016.24763595107 28.4848906045046 32.8008734710708 115311.392694381 50.5121063905649 514255.200047394 12 10
2017.24711938423 346.149784834773 47.1796717487738 1481417.37757444 53.6542976524957 534592.744419224 12 10
2018.24703196347 72.9442738261139 61.1402086768077 445258.724861628 57.2810692091781 559278.787049606 12 10
