chng_est low_conf up_conf
-0.514872836926665 -0.58464383261129 -0.402013238903725
-0.566804602659761 -0.58475989968123 -0.49658798939478
-0.483491333219121 -0.578223612755091 -0.46165571349751
-0.353682024586902 -0.44113568991323 -0.305671929385891
-0.280728273354883 -0.334421974953627 -0.248693050156357
-0.254765180597367 -0.299028324694603 -0.226125040047956
-0.23004000971635 -0.296819714076119 -0.201812731119566
-0.213545428635837 -0.260028749214006 -0.157097041977178
-0.274765816844957 -0.316932811123601 -0.21891257449508
-0.343339854541054 -0.371183280722155 -0.306330248641061
-0.405081724422615 -0.431467070086573 -0.364366426575133
-0.438647919558118 -0.487725817605868 -0.405746074327934
