Date,Remarks,SSC_Conc
8/2/73,,146
8/3/73,,186
8/4/73,,161
8/5/73,,169
8/6/73,,137
8/7/73,,112
8/8/73,,120
8/9/73,,118
8/10/73,,116
8/11/73,,123
8/12/73,,155
8/13/73,,140
8/14/73,,157
8/15/73,,142
8/16/73,,142
8/17/73,,130
8/18/73,,122
8/19/73,,113
8/20/73,,102
8/21/73,,126
8/22/73,,113
8/23/73,,119
8/24/73,,87
8/25/73,,74
8/26/73,,112
8/27/73,,116
8/28/73,,149
8/29/73,,110
8/30/73,,101
8/31/73,,99
9/1/73,,91
9/2/73,,91
9/4/73,,97
9/5/73,,68
9/6/73,,77
9/7/73,,61
9/8/73,,90
9/9/73,,71
9/10/73,,73
9/11/73,,67
9/13/73,,75
9/14/73,,80
9/15/73,,76
9/16/73,,82
9/17/73,,84
9/18/73,,84
9/19/73,,69
9/20/73,,89
9/21/73,,89
9/22/73,,80
9/23/73,,83
9/24/73,,74
9/25/73,,71
9/26/73,,78
9/27/73,,57
9/28/73,,69
9/29/73,,63
9/30/73,,70
10/1/73,,73
10/2/73,,78
10/3/73,,80
10/4/73,,80
10/5/73,,142
10/6/73,,83
10/7/73,,91
10/8/73,,102
10/9/73,,82
10/10/73,,84
10/11/73,,89
10/12/73,,83
10/13/73,,74
10/14/73,,83
10/15/73,,73
10/16/73,,82
10/16/73,,54
10/16/73,,73
10/17/73,,87
10/18/73,,89
10/19/73,,81
10/20/73,,75
10/21/73,,73
10/22/73,,70
10/23/73,,80
10/24/73,,62
10/25/73,,67
10/26/73,,62
10/27/73,,61
10/28/73,,82
10/29/73,,60
10/30/73,,62
10/31/73,,72
10/31/73,,71
11/1/73,,60
11/2/73,,58
11/3/73,,56
11/4/73,,51
11/5/73,,44
11/6/73,,44
11/7/73,,56
11/8/73,,42
11/9/73,,47
11/10/73,,61
11/11/73,,75
11/12/73,,75
11/13/73,,62
11/14/73,,68
11/15/73,,68
11/16/73,,63
11/17/73,,60
11/18/73,,62
11/19/73,,58
11/20/73,,58
11/21/73,,73
11/22/73,,82
11/23/73,,64
11/24/73,,59
11/25/73,,54
11/26/73,,46
11/27/73,,42
11/28/73,,53
11/29/73,,61
11/29/73,,56
11/30/73,,60
12/1/73,,56
12/2/73,,51
12/3/73,,51
12/4/73,,46
12/5/73,,41
12/6/73,,56
12/7/73,,47
12/8/73,,51
12/9/73,,49
12/10/73,,42
12/11/73,,40
12/12/73,,36
12/13/73,,39
12/14/73,,42
12/15/73,,53
12/16/73,,69
12/17/73,,56
12/18/73,,45
12/18/73,,57
12/19/73,,60
12/20/73,,53
12/21/73,,54
12/22/73,,59
12/23/73,,63
12/24/73,,60
12/25/73,,61
12/26/73,,58
12/27/73,,62
12/28/73,,87
12/29/73,,147
12/31/73,,109
1/1/74,,95
1/2/74,,74
1/3/74,,69
1/5/74,,76
1/6/74,,69
1/7/74,,63
1/8/74,,80
1/8/74,,67
1/9/74,,141
1/10/74,,105
1/11/74,,99
1/12/74,,76
1/13/74,,88
1/14/74,,61
1/15/74,,77
1/16/74,,65
1/17/74,,61
1/18/74,,82
1/19/74,,87
1/20/74,,100
1/21/74,,86
1/22/74,,81
1/23/74,,84
1/24/74,,86
1/25/74,,81
1/26/74,,74
1/27/74,,87
1/28/74,,78
1/29/74,,71
1/30/74,,67
1/31/74,,57
2/1/74,,58
2/2/74,,56
2/3/74,,67
2/4/74,,56
2/5/74,,50
2/6/74,,46
2/7/74,,43
2/8/74,,46
2/9/74,,43
2/10/74,,46
2/11/74,,43
2/12/74,,47
2/13/74,,46
2/14/74,,45
2/15/74,,39
2/16/74,,39
2/17/74,,33
2/17/74,,51
2/18/74,,34
2/19/74,,44
2/20/74,,42
2/21/74,,46
2/22/74,,40
2/23/74,,40
2/24/74,,37
2/25/74,,45
2/26/74,,46
2/27/74,,41
2/28/74,,45
3/1/74,,45
3/2/74,,48
3/3/74,,97
3/4/74,,95
3/5/74,,110
3/6/74,,89
3/7/74,,119
3/8/74,,76
3/9/74,,67
3/10/74,,65
3/11/74,,67
3/12/74,,66
3/13/74,,69
3/14/74,,60
3/15/74,,63
