chng_est low_conf up_conf
-0.122678954933534 -0.15855923675692 -0.0940021253617693
-0.116844594600446 -0.148680242592035 -0.0785098702326939
-0.0894021272837015 -0.120773884096404 -0.0513364357812039
-0.0546431892531695 -0.0831774958845103 -0.0338464253532375
-0.035242189091952 -0.0630247641800155 -0.0223612540960721
-0.0194255477013351 -0.0626724266155184 -0.00498826602250763
-0.0132957849405719 -0.0759287078684147 0.00672331044287292
-0.0463955638388667 -0.0943598925306668 0.00899873341616775
-0.0697614239631331 -0.131596771871285 -0.0112881223360907
-0.151488255263309 -0.179348241392681 -0.129625496274599
-0.190989337649647 -0.209208263783756 -0.177390219841294
-0.179976383166145 -0.20980949284956 -0.137160160352525
